"AirTemperature","Pressure","Humidity","WaterTemperature","WindSpeed"
29.6,1003.9,86.9,29.45,17.7408
29.5,1003.7,86.9,29.45,18.8208
29.5,1003.7,87.2,29.47,18.5472
29.4,1003.7,85.7,29.47,19.3752
29.5,1003.8,85.7,29.48,20.2428
29.4,1003.7,85.8,29.49,21.3336
29.2,1003.5,84.6,29.5,22.2732
29.4,1003.3,83,29.52,21.4524
29.5,1003.2,83.1,29.52,20.79
29.5,1003.2,84.9,29.53,20.7828
29.3,1003.1,85.5,29.53,22.518
29.3,1003,85,29.53,20.3328
29.2,1002.8,84.9,29.53,19.0476
29.2,1002.6,85.3,29.53,18.1152
29.2,1002.6,85.9,29.53,16.7724
29.1,1002.5,84.5,29.53,17.0532
29.2,1002.4,84.4,29.55,16.9236
29.2,1002.3,84.5,29.56,16.596
29.1,1002.3,85.5,29.56,12.3408
29.1,1002.4,85.1,29.55,12.132
29,1002.4,84.2,29.53,12.5568
29.1,1002.4,84.3,29.53,13.4316
29.1,1002.3,83.3,29.53,13.9464
29.2,1002.3,85.1,29.53,15.1812
29.2,1002.3,85.2,29.53,15.5088
29.2,1002.3,83.6,29.53,16.5096
29.1,1002.3,81.5,29.53,16.02
29.3,1002.4,81,29.53,15.0768
29.3,1002.3,81.8,29.52,16.416
29.3,1002.3,81.5,29.5,17.8128
29.3,1002.4,80.1,29.5,18.9648
29.4,1002.6,79.9,29.51,19.818
29.4,1002.7,81.1,29.53,20.6352
29.3,1002.8,81.2,29.53,19.7676
29.3,1002.9,82.5,29.53,18.3888
29.3,1003,82.9,29.52,18.1728
29.3,1003,82.3,29.52,18.5256
29.3,1003.1,80.8,29.5,17.0856
29.4,1003.2,79.5,29.5,16.6572
29.5,1003.2,79,29.48,16.4844
29.5,1003.3,79.7,29.5,16.4484
29.6,1003.4,81.6,29.5,15.876
29.4,1003.6,81.4,29.53,16.038
29.5,1003.6,82.6,29.53,17.6472
29.5,1003.7,82.8,29.53,17.5284
29.5,1003.8,83.5,29.53,16.6248
29.5,1004.1,83.3,29.53,16.632
29.5,1004.3,85.3,29.53,16.596
29.3,1004.4,84.5,29.52,18.72
29.5,1004.5,83.2,29.52,19.2312
29.5,1004.7,83.1,29.53,20.6964
29.6,1004.8,83.8,29.53,21.1824
29.5,1004.9,82.2,29.53,22.3848
29.5,1005,83.9,29.53,21.4524
29.6,1005,82.6,29.53,20.8836
29.5,1005.1,83.8,29.52,19.926
29.6,1005.1,83.7,29.53,19.9872
29.6,1005.1,83.3,29.53,19.1484
29.6,1005.2,82.8,29.55,19.6452
29.6,1005.2,83.8,29.55,20.1384
29.7,1005.1,84.4,29.57,20.8656
29.6,1005,84.7,29.57,19.962
29.6,1005,84.9,29.59,21.0636
29.6,1004.9,84.4,29.61,21.4884
29.6,1004.9,85.1,29.62,21.9348
29.6,1004.9,85.6,29.64,22.7016
29.6,1004.8,86,29.67,21.9564
29.6,1004.7,85.9,29.67,21.5712
29.6,1004.5,85.3,29.68,21.7692
29.7,1004.5,83.4,29.7,21.8376
29.8,1004.3,84.9,29.73,20.3184
29.7,1004.2,85.9,29.75,21.6
29.6,1004.1,83.6,29.76,22.2912
29.6,1003.9,83,29.76,22.0464
29.7,1003.8,84.5,29.76,20.8188
29.8,1003.7,82.8,29.79,21.726
29.8,1003.5,82.2,29.82,20.1132
29.6,1003.2,83.6,29.85,20.0952
29.8,1003.2,83.1,29.84,20.8908
29.6,1003.1,82.3,29.83,20.7
29.8,1003,80.9,29.85,20.0232
